Number,Disp,sigmaZ
[-],[mm],[MPa]
1,0.0,0.25663253387567109
2,0.011899999999999999,0.51326506775134217
3,0.021600000000000001,0.76989760162701326
4,0.028499999999999998,1.0265301355026843
5,0.049499999999999995,2.0530602710053687
6,0.064600000000000005,3.079590406508053
7,0.076999999999999999,4.1061205420107374
8,0.0877,5.1326506775134213
9,0.097500000000000003,6.1591808130161061
10,0.10600000000000001,7.18571094851879
11,0.11410000000000001,8.2122410840214748
12,0.12180000000000001,9.2387712195241587
13,0.12939999999999999,10.265301355026843
14,0.12759999999999999,9.2387712195241587
15,0.1229,8.2122410840214748
16,0.11750000000000001,7.18571094851879
17,0.11750000000000001,6.1591808130161061
18,0.1115,5.1326506775134213
19,0.097000000000000003,4.1061205420107374
20,0.082500000000000004,3.079590406508053
21,0.0751,2.0530602710053687
22,0.059099999999999993,1.0265301355026843
23,0.054299999999999994,0.76989760162701326
24,0.048099999999999997,0.51326506775134217
25,0.040500000000000001,0.25663253387567109
