1 
7.3635771634704864e+05	1.1169506809799998e+00	5.0000000000000000e+00	2.1765955599999998e+02	
7.3635771795847220e+05	1.1583192247199998e+00	5.0000000000000000e+00	2.0605744299999998e+02	
7.3635771866412042e+05	1.1858982538799998e+00	5.0000000000000000e+00	2.0097832599999998e+02	
7.3635771877759264e+05	1.1996877684599998e+00	5.0000000000000000e+00	2.0016152099999999e+02	
7.3635771949158562e+05	1.2824248559400000e+00	5.0000000000000000e+00	1.9501989799999998e+02	
7.3635771985283564e+05	1.3375829142599998e+00	5.0000000000000000e+00	1.9241982899999999e+02	
7.3635772075789352e+05	1.3927409725799997e+00	5.0000000000000000e+00	1.8590311799999998e+02	
7.3635772146271996e+05	1.4754780600599997e+00	5.0000000000000000e+00	1.8082815800000000e+02	
7.3635772200265049e+05	1.5306361183799997e+00	5.0000000000000000e+00	1.7694084999999998e+02	
7.3635772372724535e+05	1.5995836912799997e+00	5.0000000000000000e+00	1.6452204899999998e+02	
7.3635772484703700e+05	1.7098998079199998e+00	5.0000000000000000e+00	1.5645931199999998e+02	
7.3635772596791666e+05	1.8064264099799996e+00	5.0000000000000000e+00	1.4839078799999999e+02	
7.3635772838489583e+05	1.9719005849399998e+00	5.0000000000000000e+00	1.3098851600000000e+02	
7.3635773178248841e+05	1.9305320411999998e+00	5.0000000000000000e+00	1.0652618500000000e+02	
7.3635773268839123e+05	1.9029530120399998e+00	5.0000000000000000e+00	1.0000318899999999e+02	
7.3635773414813657e+05	1.8891634974599996e+00	5.0000000000000000e+00	8.9492780999999994e+01	
7.3635773494121525e+05	1.8615844682999998e+00	5.0000000000000000e+00	8.3782432999999997e+01	
7.3635773529255786e+05	1.8340054391399998e+00	5.0000000000000000e+00	8.1253183999999990e+01	
7.3635773743177089e+05	1.7236893224999998e+00	5.0000000000000000e+00	6.5851194999999990e+01	
7.3635773826128477e+05	1.6271627204399999e+00	5.0000000000000000e+00	5.9878217999999997e+01	
7.3635773891582177e+05	1.5030570892199999e+00	5.0000000000000000e+00	5.5165723999999997e+01	
7.3635773978386575e+05	1.3651619434199997e+00	5.0000000000000000e+00	4.8915683999999999e+01	
7.3635774065160879e+05	1.2962143705199998e+00	5.0000000000000000e+00	4.2667738000000000e+01	
7.3635774090366904e+05	1.2548458267799998e+00	5.0000000000000000e+00	4.0853195999999997e+01	
7.3635774163488427e+05	1.2410563121999998e+00	5.0000000000000000e+00	3.5586542999999999e+01	
