Number,Disp,sigmaZ
[-],[mm],[MPa]
1,0.0,0.25663253387567109
2,0.014499999999999999,0.52096404376761218
3,0.022699999999999998,0.78016290298204005
4,0.028400000000000002,1.0239638101639277
5,0.045699999999999998,2.0556265963441254
6,0.059299999999999999,3.0744577558305397
7,0.071000000000000008,4.1112531926882507
8,0.081600000000000006,5.1873989514068981
9,0.090100000000000013,6.1660243472527902
10,0.098399999999999987,7.1694575547066641
11,0.10619999999999999,8.2242172689356714
12,0.11249999999999999,9.2353494524058171
13,0.11890000000000001,10.273855772822699
14,0.11679999999999999,9.244759311981257
15,0.1124,8.2028312244460331
16,0.10699999999999998,7.1788674142821058
17,0.1008,6.1480600698814944
18,0.093900000000000011,5.1369278864113497
19,0.085999999999999993,4.1086868673494941
20,0.076100000000000001,3.0804458482876385
21,0.064400000000000013,2.0470721785482695
22,0.048999999999999995,1.0256746937230987
23,0.043699999999999996,0.77075304340659878
24,0.036999999999999998,0.51583139309009896
25,0.026000000000000002,0.26775327701028351
