Number,P_fluid,sigmaZ
[-],[kPa],[MPa]
1,125.47388267799998,0.25748797565525661
2,137.88444579999995,0.51668683486968436
3,148.91605746399998,0.76904215984742763
4,155.81081475399998,1.0299519026210264
5,223.37943619599994,2.0470721785482695
6,313.01128096599996,3.0838676154059805
7,444.01166947599995,4.1146749598065933
8,576.39100944399979,5.1249517014971513
9,726.69671836599991,6.1489155116610794
10,914.23411665399976,7.1814337396208634
11,1154.1716703459999,8.2199400600377448
12,1503.0463892199998,9.2439038702016738
13,1810.5525643539997,10.269578563924771
14,1782.9735351939999,9.2439038702016738
15,1715.4049137519996,8.2173737346989881
16,1627.1520204399997,7.1985425752125742
17,1522.3517096319997,6.1608916965752769
18,1367.9091463359998,5.134361561072593
19,1209.3297286659997,4.1172412851453499
20,983.18168955399972,3.0847230571855668
21,730.83357273999991,2.0513493874461974
22,437.11691218599998,1.029096460841441
23,359.89563053799998,0.78615099543913902
24,299.22176638599996,0.52010860198802678
25,228.89524202799996,0.26518695167152678
