ethz_vd1_flow1;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm
55;103;100;17:17:27:431;3.0;0.0;0.0095
90;100;5000;17:19:52:031;6.0;0.0;0.0214
121;100;5000;17:22:04:931;9.0;0.0;0.0311
145;100;5000;17:23:44:531;12.0;0.0;0.0380
175;103;100;17:24:37:531;24.0;0.0;0.0590
204;100;5000;17:25:41:331;36.0;0.0;0.0741
241;103;100;17:27:55:631;48.0;0.0;0.0865
281;103;100;17:30:17:931;60.0;0.0;0.0972
309;103;100;17:31:31:331;72.0;0.0;0.1070
342;103;100;17:33:20:631;84.0;0.0;0.1155
395;100;5000;17:37:09:331;96.0;0.0;0.1236
484;100;5000;17:44:45:431;108.0;0.0;0.1313
551;103;100;17:50:06:231;120.0;0.0;0.1389
574;103;100;17:51:25:031;108.0;0.0;0.1371
595;100;5000;17:52:09:431;96.0;0.0;0.1324
615;103;100;17:53:03:131;84.0;0.0;0.1270
638;100;5000;17:53:48:131;72.0;0.0;0.1270
659;100;5000;17:54:29:731;60.0;0.0;0.1210
680;100;5000;17:55:18:531;48.0;0.0;0.1065
704;103;100;17:56:08:231;36.0;0.0;0.0920
730;103;100;17:57:03:731;24.0;0.0;0.0846
759;100;5000;17:58:08:531;12.0;0.0;0.0686
777;103;100;17:59:17:831;9.0;0.0;0.0638
793;100;5000;18:00:01:131;6.0;0.0;0.0576
813;103;100;18:01:19:031;3.0;0.0;0.05

dummy
dummy;54.000;140.000;0.0;0.0
Index;Element;Marker;Time;Kraft Diff.;Weg;L- Deform.
;;;;kN;mm;mm

680;100;5000;17:55:18:531;48.0;0.0;0.1065 # interpolated
813;103;100;18:01:19:031;3.0;0.0;0.05 # extrapolated
# handwritten notes from experiment
