Number,P_fluid,sigmaZ
[-],[kPa],[MPa]
1,111.68556809799998,0.25663253387567109
2,115.82242247199999,0.51326506775134217
3,118.58032538799998,0.76989760162701326
4,119.95927684599998,1.0265301355026843
5,128.23298559399998,2.0530602710053687
6,133.74879142599997,3.079590406508053
7,139.26459725799998,4.1061205420107374
8,147.53830600599997,5.1326506775134213
9,153.05411183799995,6.1591808130161061
10,159.94886912799996,7.18571094851879
11,170.98048079199998,8.2122410840214748
12,180.63314099799996,9.2387712195241587
13,197.18055849399997,10.265301355026843
14,193.04370411999997,9.2387712195241587
15,190.28580120399997,8.2122410840214748
16,188.90684974599995,7.18571094851879
17,186.14894682999997,6.1591808130161061
18,183.39104391399997,5.1326506775134213
19,172.35943224999997,4.1061205420107374
20,162.70677204399999,3.079590406508053
21,150.29620892199998,2.0530602710053687
22,136.50669434199997,1.0265301355026843
23,129.61193705199997,0.76989760162701326
24,125.47508267799998,0.51326506775134217
25,124.09613121999998,0.25663253387567109
